# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2025-11-01T02:12:00.0/2025-11-01T02:13:00.0;9.4727;6.0304;4.1505;1.8799;10.0981;6.0304;4.1505;1.8799;10.0981;1.0000
2025-11-01T02:13:00.0/2025-11-01T02:14:00.0;9.5583;6.1004;4.2106;1.8899;10.1524;6.1004;4.2106;1.8899;10.1524;1.0000
2025-11-01T02:14:00.0/2025-11-01T02:15:00.0;9.6438;6.1704;4.2707;1.8997;10.2062;6.1704;4.2707;1.8997;10.2062;1.0000
2025-11-01T02:15:00.0/2025-11-01T02:16:00.0;9.7290;6.2403;4.3308;1.9095;10.2593;6.2403;4.3308;1.9095;10.2593;1.0000
2025-11-01T02:16:00.0/2025-11-01T02:17:00.0;9.8140;6.3102;4.3910;1.9191;10.3118;6.3102;4.3910;1.9191;10.3118;1.0000
2025-11-01T02:17:00.0/2025-11-01T02:18:00.0;9.8988;6.3799;4.4512;1.9287;10.3636;6.3799;4.4512;1.9287;10.3636;1.0000
2025-11-01T02:18:00.0/2025-11-01T02:19:00.0;9.9834;6.4496;4.5115;1.9381;10.4149;6.4496;4.5115;1.9381;10.4149;1.0000
2025-11-01T02:19:00.0/2025-11-01T02:20:00.0;10.0678;6.5192;4.5718;1.9474;10.4656;6.5192;4.5718;1.9474;10.4656;1.0000
2025-11-01T02:20:00.0/2025-11-01T02:21:00.0;10.1520;6.5887;4.6321;1.9566;10.5156;6.5887;4.6321;1.9566;10.5156;1.0000
2025-11-01T02:21:00.0/2025-11-01T02:22:00.0;10.2360;6.6581;4.6924;1.9658;10.5651;6.6581;4.6924;1.9658;10.5651;1.0000
2025-11-01T02:22:00.0/2025-11-01T02:23:00.0;10.3198;6.7275;4.7527;1.9748;10.6141;6.7275;4.7527;1.9748;10.6141;1.0000
2025-11-01T02:23:00.0/2025-11-01T02:24:00.0;10.4034;6.7967;4.8130;1.9836;10.6625;6.7967;4.8130;1.9836;10.6625;1.0000
2025-11-01T02:24:00.0/2025-11-01T02:25:00.0;10.4867;6.8658;4.8734;1.9924;10.7103;6.8658;4.8734;1.9924;10.7103;1.0000
2025-11-01T02:25:00.0/2025-11-01T02:26:00.0;10.5699;6.9348;4.9337;2.0011;10.7576;6.9348;4.9337;2.0011;10.7576;1.0000
2025-11-01T02:26:00.0/2025-11-01T02:27:00.0;10.6528;7.0037;4.9940;2.0097;10.8044;7.0037;4.9940;2.0097;10.8044;1.0000
2025-11-01T02:27:00.0/2025-11-01T02:28:00.0;10.7355;7.0725;5.0543;2.0182;10.8506;7.0725;5.0543;2.0182;10.8506;1.0000
2025-11-01T02:28:00.0/2025-11-01T02:29:00.0;10.8180;7.1412;5.1146;2.0266;10.8963;7.1412;5.1146;2.0266;10.8963;1.0000
2025-11-01T02:29:00.0/2025-11-01T02:30:00.0;10.9003;7.2098;5.1749;2.0349;10.9415;7.2098;5.1749;2.0349;10.9415;1.0000
2025-11-01T02:30:00.0/2025-11-01T02:31:00.0;10.9824;7.2783;5.2352;2.0431;10.9862;7.2783;5.2352;2.0431;10.9862;1.0000
2025-11-01T02:31:00.0/2025-11-01T02:32:00.0;11.0642;7.3466;5.2954;2.0512;11.0305;7.3466;5.2954;2.0512;11.0305;1.0000
2025-11-01T02:32:00.0/2025-11-01T02:33:00.0;11.1458;7.4148;5.3556;2.0592;11.0742;7.4148;5.3556;2.0592;11.0742;1.0000
2025-11-01T02:33:00.0/2025-11-01T02:34:00.0;11.2272;7.4829;5.4158;2.0671;11.1174;7.4829;5.4158;2.0671;11.1174;1.0000
2025-11-01T02:34:00.0/2025-11-01T02:35:00.0;11.3084;7.5509;5.4759;2.0749;11.1602;7.5509;5.4759;2.0749;11.1602;1.0000
2025-11-01T02:35:00.0/2025-11-01T02:36:00.0;11.3893;7.6187;5.5360;2.0827;11.2025;7.6187;5.5360;2.0827;11.2025;1.0000
2025-11-01T02:36:00.0/2025-11-01T02:37:00.0;11.4700;7.6864;5.5961;2.0903;11.2444;7.6864;5.5961;2.0903;11.2444;1.0000
2025-11-01T02:37:00.0/2025-11-01T02:38:00.0;11.5505;7.7539;5.6561;2.0979;11.2858;7.7539;5.6561;2.0979;11.2858;1.0000
2025-11-01T02:38:00.0/2025-11-01T02:39:00.0;11.6307;7.8213;5.7160;2.1053;11.3267;7.8213;5.7160;2.1053;11.3267;0.5000
2025-11-01T02:39:00.0/2025-11-01T02:40:00.0;11.7107;7.8886;5.7759;2.1127;11.3673;7.8886;5.7759;2.1127;11.3673;0.5000
2025-11-01T02:40:00.0/2025-11-01T02:41:00.0;11.7904;7.9557;5.8357;2.1200;11.4073;7.9557;5.8357;2.1200;11.4073;0.5000
2025-11-01T02:41:00.0/2025-11-01T02:42:00.0;11.8700;8.0227;5.8955;2.1272;11.4470;8.0227;5.8955;2.1272;11.4470;0.5000
2025-11-01T02:42:00.0/2025-11-01T02:43:00.0;11.9492;8.0896;5.9552;2.1343;11.4862;8.0896;5.9552;2.1343;11.4862;0.5000
2025-11-01T02:43:00.0/2025-11-01T02:44:00.0;12.0283;8.1562;6.0149;2.1414;11.5250;8.1562;6.0149;2.1414;11.5250;0.5000
2025-11-01T02:44:00.0/2025-11-01T02:45:00.0;12.1071;8.2227;6.0744;2.1483;11.5634;8.2227;6.0744;2.1483;11.5634;0.5000
2025-11-01T02:45:00.0/2025-11-01T02:46:00.0;12.1856;8.2891;6.1339;2.1552;11.6014;8.2891;6.1339;2.1552;11.6014;0.5000
2025-11-01T02:46:00.0/2025-11-01T02:47:00.0;12.2639;8.3553;6.1934;2.1620;11.6390;8.3553;6.1934;2.1620;11.6390;0.5000
2025-11-01T02:47:00.0/2025-11-01T02:48:00.0;12.3420;8.4214;6.2527;2.1687;11.6762;8.4214;6.2527;2.1687;11.6762;0.5000
2025-11-01T02:48:00.0/2025-11-01T02:49:00.0;12.4198;8.4872;6.3119;2.1753;11.7130;8.4872;6.3119;2.1753;11.7130;1.0000
